0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
4310,451,3893,1175,1718,5187,1763,3671,4918,2214,1718,5662,4250,1427,2977,3612,,,𗋕,𗟲,𗧗,𗡶,𘕕,𘆏,𘕿,𗫡,𘟣,𘌽,𘕕,𗾫,𗋸,𗅉,𗭍,𗫂,,,thja1,ŋwuu1,tśhjwɨj1,śjij1,sọ1,ljɨɨ1,ɣa2,njɨ2,dju1,thjɨ2,sọ1,sjiij2,mja1,nioow1,dźjịj1,tja1,,,其,言,慎,法；,三,復 ,於,至， ,有。,此 ,{三,思,而　後,,行},者，,,,其慎言有至於三復，則三思而後行 ，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0316b2,,,,,,,,,,,,,,,,,,4475,1491,3384,2422,2350,3475,1724,659,455,5753,3927,4139,300,2422,3475,1724,,,𗰛,𗅋,𗨻,𘃞,𘍞,𗩇,𘕘,𗍊,𘓷,𗿷,𗫸,𗌭,𗍿,𘃞,𗩇,𘕘,,,dzjịj1,mji1,we2,ljɨ1,·io1,wẹ̃1,tsə1,sju2,kwər1,dźjij2,·jị2,ku1,lew1,ljɨ1,wẹ̃1,tsə1,,,過,不,為,也。,蓋,[文],[子],如,質,有。,再,則；,可,也。,[文],[子],,,不為過矣。蓋有文子之質，再斯可矣。無文子,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0316b3,,,,,,,,,,,,,,,,,,659,455,3510,1718,5662,1348,4139,2530,300,5714,1086,1718,5662,2114,4139,5187,,,𗍊,𘓷,𗤋,𘕕,𗾫,𗅔,𗌭,𘖑,𗍿,𗾖,𗸱,𘕕,𗾫,𘋩,𗌭,𘆏,,,sju2,kwər1,mjij1,sọ1,sjiij2,njaa2,ku1,mjɨ1,lew1,goor1,no2,sọ1,sjiij2,do2,ku1,ljɨɨ1,,,如,質,無。,三,思,非,則；,不,可。,孔　子,,三,思,於,則，,抑,,
之質，非三思則不可。孔子於三思則抑之，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0316b4,,,,,,,,,,,,,,,,,,2422,3785,5343,4196,4139,1491,5043,5635,4618,2422,2350,4105,4614,4859,2413,1175,,,𘃞,𗤺,𗳒,𗊬,𗌭,𗅋,𘙡,𘔼,𗖣,𘃞,𘍞,𘓐,𗖵,𘘝,𘃡,𗡶,,,ljɨ1,lhjwɨ2,ŋwu2,kụ2,ku1,mji1,źwe1,nioow1,źier1,ljɨ1,·io1,dzjwo2,bju1,dzjiij2,wji1,śjij1,,
也。,率,以,對,則；,不,謙,因；,責,也。,蓋,{人,因,教,-DO},法 ,,,率爾 而對 則責之 ，因人而為之教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0316b5,,,,,,,,,,,,,,,,,,197,3475,1724,2777,5817,3699,1607,4882,4925,4612,3433,3849,4859,197,4310,1718,,,𘟂,𗩇,𘕘,𘎪,𗬬,𗪘,𗂥,𗱽,𘞹,𗖏,𗤀,𗩴,𘘝,𘟂,𗋕,𘕕,,
ŋwu2,wẹ̃1,tsə1,tshjiij1,djij2,sji1,njij2,dzjɨ1,djɨ2,njwo2,śjij1,neew2,dzjiij2,ŋwu2,thja1,sọ1,,,是。,[文],[子],言,嘗：,「預　先 ,,準　備，,,古,世,善,教,COP」,其,三,,,也。文子嘗曰：「備豫不虞［，古之善教也 ］。」三,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0316b6,,,,,,,,,,,,,,,,,,5662,3612,5607,2422,,,,,,,,,,,,,,
𗾫,𗫂,𗏴,𘃞,,,,,,,,,,,,,,,sjiij2,tja1,dźju1,ljɨ1,,,,,,,,,,,,,,,思,者，,顯,也。,,,,,,,,,,,,,,,思可知也。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0316b7,,,,,,,,,,,,,,,,,
1086,4633,1195,1197,1724,1594,173,5753,4724,4496,1594,1491,173,4724,3039,4310,4496,,𗸱,𗖸,𘈬,𘈫,𘕘,𗂧,𗵘,𗿷,𘅍,𘄡,𗂧,𗅋,𗵘,𘅍,𗭩,𗋕,𘄡,,no2,ŋwuu1,djiij2,·u2,tsə1,lhjịj2,tśja1,dźjij2,zjịj1,sjịj2,lhjịj2,mji1,tśja1,zjịj1,wẹ1,thja1,sjịj2,,子,曰：,[甯],[武],[子],邦,道,有,時；,智。,邦,不,道,時；,愚。,其,智,,子曰：甯武子 ，邦有道則知，邦無道 則愚；其智,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0316b8,,,,,,,,,,,,,,,,,,5201,2778,1567,4310,3039,5201,2778,3510,,,,,,,,,,,𘆥,𘏚,𗁁,𗋕,𗭩,𘆥,𘏚,𗤋,,,,,,,,,,,---,tjị2,wjij2,thja1,wẹ1,---,tjị2,mjij1,,,,,,,,,,,及,處,有。,其,愚,及,處,無。,,,,,,,,,,,可及也，其愚不可及也。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0317a1,,,,,,,,,,,,,,,,,,5714,1131,1553,2413,3612,1594,173,5753,4724,4310,451,2840,3838,1594,1491,173,4724,,𗾖,𘈷,𗂸,𘃡,𗫂,𗂧,𗵘,𗿷,𘅍,𗋕,𗟲,𗯿,𗩱,𗂧,𗅋,𗵘,𘅍,,goor1,gji2,bji2,wji1,tja1,lhjịj2,tśja1,dźjij2,zjịj1,thja1,ŋwuu1,wejr1,njwi2,lhjịj2,mji1,tśja1,zjịj1,,君　子,,臣,為,者，,邦,道,有,時，,其,言,興,能。,邦,不,道,時，,
